URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,turb_label,Plane Weight,sample_weight
T,BE36,AVL UUA /OV SOT190010/TM 1520/FL090/TP BE36/TB SEV CAT/RM ZTLFD49,SEV CAT,202503011500-KMSC-UBUS01-PIREP,9000.0,35.62585207958001,-83.08568161230791,2025-03-01 15:20:00,5.0,1,L,0.6
T,BE58,LRF UUA /OV HRO-CXW /TM 1744 /FL050 /TP BE58 /TB SEV,SEV,202503011700-KMSC-UBUS01-PIREP,5000.0,35.64071,-92.854915,2025-03-01 17:44:00,5.0,1,L,0.6
T,C172,MYF UUA /OV MYF090056-MYF /TM 1800 /FL090 /TP C172 /WX FG /TB SEV 090-020 /RM IMC DURD,SEV 090-020,202503012000-KMSC-UBUS01-PIREP,9000.0,32.81572,-116.0289314968222,2025-03-01 18:00:00,5.0,1,L,0.6
T,C172,ATL UUA /OV GAD170040/TM 2018/FL070/TP C172/TB SEV CAT 070/RM ZTLFD 05,SEV CAT 070,202503012000-KMSC-UBUS01-PIREP,7000.0,33.31605831832002,-85.94947525685843,2025-03-01 20:18:00,5.0,1,L,0.6
T,C560,ALB UUA /OV SCH/TM 1316/FL030/TP C560/TB SEV/RM CLIMBOUT FROM SCH THROUGH 030,SEV,202503021300-KMSC-UBUS01-PIREP,3000.0,42.85,-73.93,2025-03-02 13:16:00,5.0,1,M,0.8
T,AR11,P28 UUA /OV ANY225010 /TM 1445 /FL025 /TP AR11 /TB SEV /RM VIOLENLTY ROUGH,SEV,202503021500-KMSC-UBUS01-PIREP,2500.0,37.03213932385115,-98.21786977919272,2025-03-02 14:45:00,5.0,1,U,0.6
T,PA28,PNS UUA /OV PNS330015/TM 1448/FL018/TP PA28/TB SEV,SEV,202503021400-KMSC-UBUS01-PIREP,1800.0,30.694583887978077,-87.33199305641867,2025-03-02 14:48:00,5.0,1,L,0.6
T,SEV,DFW UUA /OV DFW/TM 0000/FL270/TP SEV/TB SEV/RM ZFW,SEV,202503030000-KMSC-UBUS01-PIREP,27000.0,32.89683,-97.038,2025-03-03 00:00:00,5.0,1,U,0.6
T,CRJ7,ACT UUA /OV ACT360025/TM 0038/FL200/TP CRJ7/TB SEV/RM ZFW,SEV,202503030000-KMSC-UBUS01-PIREP,20000.0,32.034670416700415,-97.2283,2025-03-03 00:38:00,5.0,1,M,0.8
T,A321,DFW UUA /OV FUZ360010/TM 0145/FL170/TP A321/TB CONS SEV/RM 170-FL230 ZFW,CONS SEV,202503030100-KMSC-UBUS01-PIREP,17000.0,33.05668016668017,-97.18,2025-03-03 01:45:00,5.0,1,M,0.8
F,BE55,SAN UA /OV PGY04515/TM 0248/FL050/TP BE55/TA 0/TB SEV 050/IC LGT RIME,SEV 050,202503030200-KMSC-UBUS01-PIREP,5000.0,32.61,-116.98,2025-03-03 02:48:00,5.0,1,L,0.6
T,BE55,SEE UUA /OV PGY045015/TM 0248/FL050/TP BE55/TA 00/TB SEV/IC LGT RIME/RM COR SA-ID AND MSG TYPE AND LOCTN AND TEMP. ZLA CWSU,SEV,202503030300-KMSC-UBUS01-PIREP,5000.0,32.78679101422328,-116.77012374718316,2025-03-03 02:48:00,5.0,1,L,0.6
F,A333,UUA /OV 4301N05933W /TM 1648 /FL380 /TP A333 /TB SEV,SEV,202503031652-CYXU-UACN01-PIREP,38000.0,43.166,-59.55,2025-03-03 16:48:00,5.0,1,H,1.0
T,B350,SVC UUA /OV SVC015030/TM 1822/FL160/TP B350/TB SEV 165-160/RM DURD - ZAB/FDCS,SEV 165-160,202503031800-KMSC-UBUS01-PIREP,16000.0,33.119552033179616,-108.00270434133584,2025-03-03 18:22:00,5.0,1,M,0.8
T,BE35,LSB UUA /OV SSO175015/TM 1924/FL120/TP BE35/TB SEV/RM ZAB/FDCS,SEV,202503031900-KMSC-UBUS01-PIREP,12000.0,32.02093115251426,-109.23422870373572,2025-03-03 19:24:00,5.0,1,L,0.6
T,P46T,AMA UUA /OV PNH003041/TM 2021/FL150/TP P46T/TB SEV CAT/RM ZAB/FDCS,SEV CAT,202503032000-KMSC-UBUS01-PIREP,15000.0,35.92245212294898,-101.6562091967215,2025-03-03 20:21:00,5.0,1,L,0.6
