URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,turb_label,in_sigmet,Plane Weight,sample_weight
T,E55P,ILM UUA /OV ILM360020/TM 2146/FL380/TP E55P/TB SEV CAT,SEV CAT,202505292100-KMSC-UBUS01-PIREP,38000.0,34.603360333360335,-77.9,2025-05-29 21:46:00+00:00,5.0,1,1,U,0.6
F,E75L,HDN UA /OV CHE090050/TM 2225/FL300/TP E75L/SK TOP 260/TB LGT CHOP/RM ZDVWC-13,LGT CHOP,202505222200-KMSC-UBUS01-PIREP,30000.0,40.52,-106.2136784847386,2025-05-22 22:25:00+00:00,1.0,0,0,U,0.6
F,E170,ALS UA /OV ALS/TM 1849/FL350/TP E170/SK TOP 330/TB NEG/RM ZDVWC-,NEG,202505191800-KMSC-UBUS01-PIREP,35000.0,37.43889,-105.86139,2025-05-19 18:49:00+00:00,0.0,0,0,U,0.6
T,B752,GNV UUA /OV TAY/TM 2310/FL370/TP B752/TB SEV/RM +/-300 FEET,SEV,202505092300-KMSC-UBUS01-PIREP,37000.0,30.5,-82.55,2025-05-09 23:10:00+00:00,5.0,1,1,M,0.8
F,A321,ICT UA /OV ICT095050/TM 2357/FL300/TP A321/TB CONS LGT CHOP/RM ZKC FDC,CONS LGT CHOP,202505050000-KMSC-UBUS01-PIREP,30000.0,37.57736433135843,-96.38140856684348,2025-05-04 23:57:00+00:00,1.0,0,0,M,0.8
F,A332,CRW UA /OV HVQ/TM 1733/FL380/TP A332/TB CONS LGT,CONS LGT,202505301700-KMSC-UBUS01-PIREP,38000.0,38.35,-81.77,2025-05-30 17:33:00+00:00,1.0,0,0,H,1.0
F,F9000,ABQ UA /OV ABQ075025/TM 1505/FL430/TP F9000/TB SEV 430-400/RM MOD MTN WAVE +/-30KT...ZAB/FDCS,SEV 430-400,202505131500-KMSC-UBUS01-PIREP,43000.0,35.14975000394422,-106.12388429302636,2025-05-13 15:05:00+00:00,5.0,1,0,U,0.6
T,HDJT,CGC UUA /OV CGC120015/TM 1932/FL130/TP HDJT/TB SEV,SEV,202505101900-KMSC-UBUS01-PIREP,13000.0,28.74226767498988,-82.32405893873334,2025-05-10 19:32:00+00:00,5.0,1,0,U,0.6
F,C441,DUT UA /OV DUT/TM 0214/FL055/TP C441/SK BASE016-TOP055/TB NEG/IC NEG/RM DURD RNAV 13/ ZAN,NEG,202505200200-KMSC-UBUS01-PIREP,5500.0,53.89,-166.54,2025-05-20 02:14:00+00:00,0.0,0,0,L,0.6
T,LJ45,1H2 UUA /OV BIB085025/TM 0335/FL400/TP LJ45/TB SEV CAT 400 SEV CAT 390-450/RM +/- 1000FT UP/DOWN ZKC/FDC/CW,SEV CAT 400 SEV CAT 390-450,202505070300-KMSC-UBUS01-PIREP,40000.0,38.95631783432079,-87.94644987967817,2025-05-07 03:35:00+00:00,5.0,1,0,M,0.8
T,C152,BJC UUA /OV FNL090010/TM 1700/FL080/TP C152/TB SEV,SEV,202505161700-KMSC-UBUS01-PIREP,8000.0,40.45183,-104.79229828449148,2025-05-16 17:00:00+00:00,5.0,1,0,L,0.6
T,E75,COU UUA /OV HLV020015/TM 0115/FL360/TP E75/TB CONS SEV/RM ZKC FDC,CONS SEV,202505200100-KMSC-UBUS01-PIREP,36000.0,39.34494218399108,-92.0197951296119,2025-05-20 01:15:00+00:00,5.0,1,1,U,0.6
T,A320,FLO UUA /OV FLO320060/TM 2047/FL120/TP A320/TB SEV CAT,SEV CAT,202505302000-KMSC-UBUS01-PIREP,12000.0,34.95146649278092,-80.50099456230727,2025-05-30 20:47:00+00:00,5.0,1,1,M,0.8
T,C408,MEM UUA /OV MEM135033/TM 0450/FL078/TP C408/TB SEV/RM ZME,SEV,202505200400-KMSC-UBUS01-PIREP,7800.0,34.6721697687088,-89.50983651689788,2025-05-20 04:50:00+00:00,5.0,1,0,M,0.8
