URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,turb_label,Plane Weight,sample_weight
T,A320,TTN UUA /OV RBV2401015/TM 0023/FL300/TP A320/TB SEV 300,SEV 300,,30000.0,40.27682,-74.81588,2019-11-01 00:23:00,5.0,1,M,0.8
T,A321,LGC UUA /OV LGC330026/TM 0023/FL310/TP A321/TB SEV 310-300/RM ZTLFD,SEV 310-300,,31000.0,33.38416807249533,-85.33100225744295,2019-11-01 00:23:00,5.0,1,M,0.8
T,A320,NEL UUA /OV RBV/TM 0024/FL310/TP A320/TB SEV,SEV,,31000.0,40.2,-74.5,2019-11-01 00:24:00,5.0,1,M,0.8
F,B767,NHK UA /OV 10 W PXT/TM 0145/FL130/TP B767/TB SEV,SEV,,13000.0,38.29,-76.61236266000742,2019-11-01 01:45:00,5.0,1,H,1.0
T,B190,SYR UUA /OV SYR135225/TM 0200/FL160/TP B190/A/TB EXTRM 160,EXTRM 160,,16000.0,40.45932478665088,-72.4737613266405,2019-11-01 02:00:00,7.0,1,M,0.8
T,CRJ9,MGJ UUA /OV HUO310035/TM 0250/FL200/TP CRJ9/TA M12/TB SEV-EXTRM,SEV-EXTRM,,20000.0,41.78498981072874,-75.18586407142952,2019-11-01 02:50:00,6.0,1,U,0.6
T,CRJ2,SBY UUA /OV SBY/TM 0320/FL100/TP CRJ2/TB SEV,SEV,,10000.0,38.3405,-75.5103,2019-11-01 03:20:00,5.0,1,M,0.8
T,E75L,OKV UUA /OV LDN/TM 0458/FL250/TP E75L/TB EXTRM FL250-FL270,EXTRM FL250-FL270,,25000.0,38.85,-78.21,2019-11-01 04:58:00,7.0,1,U,0.6
F,G5,UUA /OV 5410N06124W /TM 0600 /FL430 /TP G5 /TB SEV,SEV,,43000.0,54.1666,-61.4,2019-11-01 06:00:00,5.0,1,L,0.6
F,B77L,UUA /OV 5500N04400W /TM 0900 /FL380 /TP B77L /TB MDT-SEV,MDT-SEV,,38000.0,55.0,-44.0,2019-11-01 09:00:00,5.0,1,U,0.6
F,B777,UUA /OV CYGW 090060 /TM 1034 /FL290 /TP B777 /TB MDT-SEV,MDT-SEV,,29000.0,55.28194,-76.00933065892957,2019-11-01 10:34:00,5.0,1,H,1.0
F,B737,UUA /OV YVP 140120 /TM 1445 /FL400 /TP B737 /TB SEV,SEV,,40000.0,56.56778701443816,-65.98702103804504,2019-11-01 14:45:00,5.0,1,M,0.8
F,B77L,UUA /OV YVP 204071 /TM 1523 /FL360 /TP B77L /TB SEV,SEV,,36000.0,57.01888364503658,-69.33088019501619,2019-11-01 15:23:00,5.0,1,U,0.6
F,B77W,UUA /OV 4453N06113W /TM 0920 /FL350 /TP B77W /TB MDT-SEV 350 /RMDESCENDED FL330 MDT TB,MDT-SEV 350,,35000.0,44.8833,-61.2166,2019-11-03 09:20:00,5.0,1,U,0.6
T,B747,PASY UUA /OV SYA297173/TM 1443/FL360/TP B747/TB SEV/RM FL350 SMOOTH ZAN,SEV,,36000.0,54.01911197050294,169.86921631672132,2019-11-03 14:43:00,5.0,1,H,1.0
F,DH8D,UUA /OV CYYC 220022 /TM 1515 /FL100 /TP DH8D /TB MDT-SEV,MDT-SEV,,10000.0,50.83298428598032,-114.39574591785356,2019-11-03 15:15:00,5.0,1,M,0.8
T,B789,DEN UUA /OV DVV270020/TM 1832/FL410/TP B789/TB SEV MTW/RM +/-200FT..+/-20KTS...ZDV,SEV MTW,,41000.0,39.89,-105.0544718953239,2019-11-03 18:32:00,5.0,1,U,0.6
F,B788,UUA /OV 4224N06527W /TM 0325 /FL370 /TP B788 /TB MDT-SEV,MDT-SEV,,37000.0,42.4,-65.45,2019-11-06 03:25:00,5.0,1,U,0.6
F,B77W,UUA /OV 5110N05314W /TM 1942 /FL310 /TP B77W /TB MDT - SEV /RM MDT-SEV TURB DUE BUILDUPS AND UPSWINDS STARTED AT TUDEP AND LAST FOR 10-15 MILES,MDT - SEV,,31000.0,51.1666,-53.2333,2019-11-06 19:42:00,5.0,1,U,0.6
T,E135,HOB UUA /OV HOB045010 /TM 0257 /FL260 /TP E135 /TB SEV 260/RM AWC-WEB,SEV 260,,26000.0,32.80539067614885,-103.07699113680424,2019-11-07 02:57:00,5.0,1,M,0.8
T,E135,HOB UUA /OV HOB045010 /TM 0257 /FL260 /TP E135 /TB SEV 260/RM AWC-WEB:,SEV 260,,26000.0,32.80539067614885,-103.07699113680424,2019-11-07 02:57:00,5.0,1,M,0.8
T,B777,PMDY UUA /OV 2142N 17800E /TM 1330 /FL340 /TP B777 /TB SEV 340 /RM CORRECTION /ZOA CWSU AWC-WEB:,SEV 340,,34000.0,21.7,178.0,2019-11-07 13:30:00,5.0,1,H,1.0
