,AIRCRAFT,Turbulence_Category
0,ERCO,L
1,B752,M
2,B73A,M
3,B777,H
4,PA46,L
5,CH2T,L
6,SR20,L
7,AC14,L
8,B757,M
9,A320,M
10,SR22,L
11,C172,L
12,P28,L
13,SW4,M
14,PA24,L
15,E120,M
16,PA32,L
17,B733,M
18,SVRL ACFT,U
19,ALL,L
20,B767,H
21,C208,L
22,BL26,U
23,BE36,L
24,C402,L
25,B206,L
26,MD11,H
27,C210,L
28,P28A,L
29,C182,L
30,A319,M
31,PA31,L
32,B737,M
33,CRJ7,M
34,MD80,M
35,DC9,M
36,DHC8,L
37,H,L
38,FK10,L
39,HEL,U
40,BE58,L
41,CL60,M
42,MO20,U
43,UNKN,U
44,BE35,L
45,B738,M
46,B727,M
47,C310,L
48,C414,L
49,D328,M
50,C526,L
51,BE10,L
52,DH8,M
53,AT72,M
54,E145,M
55,E135,M
56,LJ35,M
57,NMRS,U
58,TOPS,U
59,CRJ1,M
60,LR60,U
61,LJ,L
62,B772,H
63,B747,H
64,LJ31,M
65,JETS,M
66,LR25,L
67,SVRL,U
68,A333,H
69,M20P,L
70,LJ44,M
71,BE20,M
72,SF34,M
73,PA28,L
74,B764,H
75,C340,L
76,A321,M
77,B190,M
78,DC8,H
79,MD90,M
80,BE65,L
81,WW24,M
82,C152,L
83,C206,L
84,C550,L
85,C525,L
86,A145,L
87,B73Q,M
88,C177,L
89,C180,L
90,C150,L
91,M20,L
92,NUMR,U
93,BE9L,L
94,P32R,L
95,C560,M
96,HS25,U
97,TB20,L
98,B739,M
99,JS32,M
100,PA34,L
101,DHC2,L
102,PC12,L
103,BE55,L
104,BE90,L
105,BE40,M
106,DV20,L
107,G4,L
108,FA20,M
109,LA25,L
110,CL64,M
111,F100,M
112,JS41,M
113,LJ45,M
114,BA46,U
115,P46T,L
116,B734,M
117,BE76,L
118,BL17,L
119,GLF4,M
120,A36,L
121,H25B,M
122,M20F,L
123,LJ60,M
124,PARO,L
125,H25,M
126,C72R,L
127,PA30,L
128,PAY1,L
129,BE23,L
130,C320,L
131,AC90,L
132,A343,H
133,C421,L
134,GULF,L
135,B732,M
136,BE95,L
137,PA44,L
138,DH8B,M
139,C502,L
140,BE30,L
141,F27,M
142,B735,M
143,C401,L
144,C500,L
145,TRIN,L
146,BE99,L
147,M20J,L
148,C377,U
149,C337,L
150,DH8D,M
151,C130,M
152,CL65,M
153,MU2,L
154,J328,M
155,BE33,L
156,C441,L
157,P28B,L
158,AA1,L
159,C425,L
160,SBR1,M
161,JET,M
162,SH36,M
163,PAY3,L
164,PROP,L
165,CRJ2,M
166,C170,L
167,FUNK,L
168,GLAS,L
169,M20T,L
170,H25C,M
171,HXB,U
172,G5,L
173,DA40,L
174,PA27,L
175,C185,L
176,AA5,L
177,GA7,L
178,P28R,L
179,B407,L
180,B722,M
181,VTUR,L
182,MD88,M
183,KC135,U
184,FA50,M
185,F18,M
186,RV4,L
187,B350,M
188,C56X,M
189,SW3,L
190,TBN,U
191,C207,L
192,ML5,U
193,C650,M
194,C750,M
195,A109,L
196,AC69,L
197,SAAB,U
198,G6,L
199,B212,L
200,DV40,U
201,B744,H
202,M5,L
203,TBM,L
204,BE9T,L
205,C200,L
206,AC95,L
207,SW2,L
208,SVRL A,U
209,B762,H
210,MU30,M
211,SK76,L
212,B741,H
213,SBR,M
214,DH6,L
215,DA50,L
216,F2TH,M
217,RV6,L
218,BE19,L
219,AEST,L
220,OV10,U
221,B737 MD80,M
222,BH06,U
223,PA22,L
