label,issue,expire,fl_low,fl_high,polygon
1E,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,42000.0,"POLYGON ((-80.23148116329597 28.97879293310473, -78.21648200970473 28.48908274740241, -77.31302444862477 27.671594119567153, -77.85590869253983 26.662524797668226, -80.20078323475343 28.294518877577687, -80.23148116329597 28.97879293310473))"
3E,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,44000.0,"POLYGON ((-83.99782149241963 27.903731157228925, -83.58517661441802 27.014182684276577, -85.12454263031454 26.42142006331732, -85.12715133198182 27.888382245393466, -83.99782149241963 27.903731157228925))"
2E,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,40000.0,"POLYGON ((-84.8306234293112 31.467860282199958, -81.51 31.17184477868197, -81.38042069572057 29.535008850182635, -81.8730889204524 29.297831298152747, -85.41505289156872 30.01367915924098, -84.8306234293112 31.467860282199958))"
1W,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-113.96630407068568 38.2492383419313, -110.7 37.58815522131804, -106.97611002350156 35.347309895609214, -109.1088929440802 32.57731984394856, -116.46000000000001 35.13273791147279, -113.96630407068568 38.2492383419313))"
2W,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-110.10135296691168 32.97305877301123, -108.81272850592548 31.346981460766365, -110.91 31.26815522131804, -112.17390637934207 31.648053468279212, -112.39811163804823 32.6609008781232, -110.10135296691168 32.97305877301123))"
1C,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,38000.0,"POLYGON ((-105.35420089092176 38.63485169968692, -105.21400432457892 38.49221607024715, -106.13727526182588 37.58473302611176, -106.27747182816871 37.72736865555153, -105.35420089092176 38.63485169968692))"
2C,2023-09-01 00:55:00+00:00,2023-09-01 02:55:00+00:00,0.0,39000.0,"POLYGON ((-105.51891517322072 35.96608861707847, -104.81076268348747 35.77020196843784, -105.14 35.22628718173731, -106.16569826589962 35.25954492165232, -105.51891517322072 35.96608861707847))"
UNIFORM 12,2023-09-01 01:04:00+00:00,2023-09-01 05:00:00+00:00,0.0,55000.0,"POLYGON ((130 21, 133.15 21, 132.3 18.15, 140.3 13.3, 130 12.15, 130 21))"
4E,2023-09-01 01:55:00+00:00,2023-09-01 03:55:00+00:00,0.0,40000.0,"POLYGON ((-79.14696250387193 28.849917908083896, -76.61106191602163 27.910817677605095, -77.11144810324207 26.648937268035965, -78.98711815426667 27.67189156830133, -79.14696250387193 28.849917908083896))"
3W,2023-09-01 01:55:00+00:00,2023-09-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-113.80128855234793 38.439531252544754, -108.85976421063654 36.992191160817896, -106.53180338798283 35.27494082998602, -109.56325314191872 32.884457628350354, -116.30435104593644 35.107310783810576, -113.80128855234793 38.439531252544754))"
